objectid,Parish,County,Major social category,Category sub group,Quantity_Period_A (To AD 260),Quantity_Period_B  (AD 260-296),Quantity_Period_C (AD 296-330),Quantity_Period_D (AD 330-364),Quantity_Period_E (AD 364-402),Total quantity (ABCDE),lat,long
10644,Findon,West_Sussex,PAS Rural,,13,14,2,7,5,41,50.87279892,-0.40380001
10645,Wiston,West_Sussex,Rural,Temple,14,14,2,7,2,39,50.91960144,-0.36629
10646,Elsted_and_Treyford,West_Sussex,PAS rural,,9,3,3,8,4,27,50.95740128,-0.82520998
10647,East_Lavington,West_Sussex,PAS Rural,,3,19,1,6,6,35,50.94540024,-0.66114002
10648,Sidlesham,West_Sussex,PAS rural,,16,5,1,1,3,26,50.77159882,-0.79686999
10649,Duncton,West_Sussex,PAS Rural,,5,10,6,1,3,25,50.94789886,-0.63034999
10782,Bramham_cum_Oglethorpe,West_Yorkshire,PAS Rural,,1,36,9,31,2,79,53.87770081,-1.34791005
10783,Collingham,West_Yorkshire,Rural,Villa,14,52,7,71,0,144,53.90620041,-1.40558004
10784,Wetherby,West_Yorkshire,Nucleated,Undefended,7,6,5,19,17,54,53.92449951,-1.37548006
10785,Aberford,West_Yorkshire,PAS Rural,,2,2,4,17,1,26,53.84059906,-1.34949994
10857,West_Tisbury,Wiltshire,Rural,Temple,129,170,118,414,313,1144,51.06079865,-2.11916995
10858,Kingston_Deverill,Wiltshire,PAS Rural,,37,383,98,750,585,1853,51.12749863,-2.21879005
10859,Castle_Eaton,Wiltshire,PAS Rural,,1,15,0,9,26,51,51.6515007,-1.77835
10860,Amesbury,Wiltshire,Nucleated,Undefended,42,289,90,419,677,1517,51.17060089,-1.77070999
10861,West_Lavington,Wiltshire,PAS Rural,,54,179,90,364,645,1332,51.25970078,-1.99623001
10862,Wanborough,Wiltshire,Nucleated,Undefended,159,417,88,578,512,1754,51.5320015,-1.68175006
10863,Ashton_Keynes,Wiltshire,Rural,Farmstead,0,0,83,337,334,754,51.65060043,-1.92710996
10864,Shrewton,Wiltshire,PAS Rural,,32,193,70,205,105,605,51.20339966,-1.87567997
10865,Heddington,Wiltshire,Nucleated,Defended vici,62,302,70,298,220,952,51.39440155,-1.99829996
10866,Urchfont,Wiltshire,PAS Rural,,91,137,68,222,182,700,51.30870056,-1.94181001
10867,Salisbury,Wiltshire,Nucleated,Undefended,54,171,67,202,63,557,51.07920074,-1.80926001
10868,Calne,Wiltshire,Rural,,5,100,60,291,93,549,51.43920135,-1.99722004
10869,Lacock,Wiltshire,Nucleated,Undefended,41,152,58,183,78,512,51.42580032,-2.12491012
10870,East_Knoyle,Wiltshire,PAS Rural,,37,109,56,81,115,398,51.07860184,-2.1735599
10871,Pewsey,Wiltshire,PAS Rural,,33,125,53,202,83,496,51.33589935,-1.76101995
10872,West_Knoyle,Wiltshire,PAS Rural,,99,130,52,102,29,412,51.09469986,-2.2098
10873,St._Paul_Malmesbury_Without,Wiltshire,PAS Rural,,12,11,47,26,10,106,51.55780029,-2.10587001
10874,Downton,Wiltshire,PAS Rural,,49,132,46,83,56,366,51.00579834,-1.76143003
10875,Alvediston,Wiltshire,PAS Rural,,4,101,45,108,52,310,51.00970078,-2.05087996
10876,Bradford-on-Avon,Wiltshire,Rural,Temple,15,88,45,341,89,578,51.34560013,-2.25118995
10877,Nettleton,Wiltshire,Nucleated,Undefended,103,286,40,683,721,1833,51.50009918,-2.27698994
10878,Atworth,Wiltshire,Rural,Villa,5,96,39,114,24,278,51.38359833,-2.20316005
10879,Coombe_Bissett,Wiltshire,Rural,,17,84,36,140,98,375,51.0265007,-1.83931994
10880,Marston_Maisey,Wiltshire,PAS Rural,,9,195,32,157,109,502,51.67660141,-1.80585003
10881,Hindon,Wiltshire,PAS Rural,,15,68,32,126,115,356,51.09550095,-2.12816
10882,Easton_Grey,Wiltshire,Nucleated,Undefended,38,162,32,120,68,420,51.58390045,-2.17171001
10883,Stockton,Wiltshire,Nucleated,Undefended,20,29,31,60,21,161,51.13420105,-2.03449988
10884,Chiseldon,Wiltshire,PAS Rural,,23,57,29,74,33,216,51.51580048,-1.73556006
10885,Chilmark,Wiltshire,PAS Rural,,21,92,26,101,24,264,51.09859848,-2.05185008
10886,Mildenhall,Wiltshire,Nucleated,Defended vici,23,281,23,422,143,892,51.43270111,-1.69533002
10887,Great_Bedwyn,Wiltshire,Rural,Temple,28,149,23,97,115,412,51.37239838,-1.61671996
10888,Etchilhampton,Wiltshire,PAS Rural,,4,32,22,104,82,244,51.34379959,-1.92815006
10889,Codford,Wiltshire,PAS Rural,,12,31,21,40,17,121,51.16770172,-2.03491998
10890,Enford,Wiltshire,PAS Rural,,23,57,21,113,73,287,51.26039886,-1.80552995
10891,Bowerchalke,Wiltshire,PAS Rural,,39,168,21,89,55,372,51.0021019,-1.98689997
10892,Winterbourne_Stoke,Wiltshire,PAS Rural,,6,32,20,51,23,132,51.17990112,-1.87360001
10893,Winterbourne_Bassett,Wiltshire,PAS Rural,,8,51,19,86,55,219,51.47159958,-1.85417998
10894,Broad_Hinton,Wiltshire,PAS Rural,,14,52,18,87,78,249,51.49259949,-1.83412004
10895,Heytesbury,Wiltshire,PAS Rural,,18,47,18,69,56,208,51.21500015,-2.07745004
10896,Calne_Without,Wiltshire,PAS Rural,,12,55,17,164,89,337,51.4355011,-2.05369997
10897,Durnford,Wiltshire,PAS Rural,,12,37,17,53,38,157,51.13169861,-1.79883003
10898,Shalbourne,Wiltshire,PAS rural,,22,117,17,58,79,293,51.36100006,-1.54931998
10899,Blunsdon_St_Andrew,Wiltshire,PAS Rural,,8,38,16,61,15,138,51.61460114,-1.79981995
10900,Chirton,Wiltshire,PAS Rural,,10,19,16,6,5,56,51.29750061,-1.90129006
10901,Chitterne,Wiltshire,PAS rural,,4,22,15,64,28,133,51.20539856,-2.00579
10902,Cherhill,Wiltshire,PAS Rural,,10,22,15,24,8,79,51.44020081,-1.90620005
10903,All_Cannings,Wiltshire,PAS Rural,,11,26,15,44,28,124,51.37379837,-1.88116002
10904,Kington_St._Michael,Wiltshire,PAS Rural,,4,8,12,21,1,46,51.49580002,-2.1521399
10905,Teffont,Wiltshire,PAS Rural,,8,21,12,19,11,71,51.09329987,-2.01616001
10906,Dinton,Wiltshire,PAS rural,,13,15,12,16,3,59,51.09590149,-1.97511995
10907,Westbury,Wiltshire,Nucleated,Undefended,29,106,12,34,20,201,51.25490189,-2.17559004
10908,Broughton_Gifford,Wiltshire,PAS Rural,,3,10,11,26,30,80,51.37139893,-2.1710701
10909,Woodford,Wiltshire,PAS Rural,,6,10,11,19,7,53,51.12379837,-1.83633995
10910,Liddington,Wiltshire,PAS Rural,,7,17,11,25,28,88,51.51679993,-1.69555998
10911,Clyffe_Pypard,Wiltshire,PAS rural,,8,39,11,50,25,133,51.49250031,-1.89840996
10912,Bishopstone,Wiltshire,PAS Rural,,9,27,11,7,5,59,51.03079987,-1.89558005
10913,Idmiston,Wiltshire,PAS Rural,,5,6,10,16,6,43,51.13439941,-1.72721004
10914,Broad_Chalke,Wiltshire,PAS Rural,,13,38,10,32,28,121,51.01890182,-1.94702995
10915,Mere,Wiltshire,PAS Rural,,0,18,9,16,12,55,51.09280014,-2.24868989
10916,Ramsbury,Wiltshire,Rural,Villa,37,87,9,47,18,198,51.44800186,-1.61146998
10917,West_Overton,Wiltshire,Rural,,4,14,8,54,58,138,51.40570068,-1.79787004
10918,Stanton_St._Quintin,Wiltshire,Rural,Villa,7,26,8,26,35,102,51.52159882,-2.13293004
10919,Box,Wiltshire,Rural,Villa,8,23,8,51,18,108,51.4211998,-2.24952006
10920,Winterbourne_Monkton,Wiltshire,PAS Rural,,14,36,8,19,21,98,51.44789886,-1.85344994
10921,Ogbourne_St._George,Wiltshire,PAS Rural,,16,14,8,9,2,49,51.47029877,-1.70819998
10922,South_Wraxall,Wiltshire,PAS Rural,,5,26,7,43,32,113,51.38010025,-2.24466991
10923,Grittleton,Wiltshire,PAS Rural,,7,58,7,48,87,207,51.51750183,-2.20942998
10924,Colerne,Wiltshire,Rural,Villa,15,44,7,69,83,218,51.44910049,-2.26114988
10925,Roundway,Wiltshire,Rural,Temple,0,1,6,13,28,48,51.37149811,-1.98424006
10926,Orcheston,Wiltshire,PAS Rural,,4,28,6,29,23,90,51.2201004,-1.91547
10927,Everleigh,Wiltshire,PAS Rural,,4,12,6,10,10,42,51.29079819,-1.71642005
10928,Charlton_(Upavon_Ward),Wiltshire,PAS rural,,4,6,6,17,3,36,51.28530121,-1.86164999
10929,Tilshead,Wiltshire,PAS Rural,,5,9,6,8,7,35,51.22980118,-1.96616995
10930,Market_Lavington,Wiltshire,PAS Rural,,7,14,6,12,8,47,51.27310181,-1.95755994
10931,Wylye,Wiltshire,PAS Rural,,8,24,6,11,16,65,51.14970016,-1.99175
10932,Bratton,Wiltshire,PAS Rural,,2,8,5,20,9,44,51.26150131,-2.13813996
10933,Longbridge_Deverill,Wiltshire,PAS Rural,,9,8,5,8,1,31,51.16030121,-2.19064999
10934,Brixton_Deverill,Wiltshire,Rural,Villa,14,53,5,31,1,104,51.1371994,-2.18196988
10935,Avebury,Wiltshire,Nucleated,Undefended,49,12,5,54,91,211,51.4219017,-1.86546004
10936,Allington,Wiltshire,PAS Rural,,2,11,4,18,3,38,51.14749908,-1.70342004
10937,Broad_Town,Wiltshire,PAS Rural,,2,7,4,7,5,25,51.50939941,-1.87223995
10938,Melksham_Without,Wiltshire,Nucleated,Undefended,3,8,4,18,1,34,51.37680054,-2.0966599
10939,Stratford_Toney,Wiltshire,PAS Rural,,4,11,4,6,5,30,51.02880096,-1.86869001
10940,Wroughton,Wiltshire,PAS Rural,,8,12,4,10,2,36,51.51990128,-1.80557001
10941,Rushall,Wiltshire,PAS Rural,,9,4,4,14,16,47,51.28409958,-1.85065997
10942,Pitton_and_Farley,Wiltshire,PAS Rural,,25,15,4,23,7,74,51.08580017,-1.70387006
10943,Cricklade,Wiltshire,Rural,Farmstead,1,4,3,42,1,51,51.63439941,-1.86036003
10945,West_Dean,Wiltshire,Rural,Villa,4,8,3,9,2,26,51.05120087,-1.65085006
10946,Collingbourne_Kingston,Wiltshire,PAS rural,,8,6,3,6,3,26,51.30360031,-1.65919006
10947,Bromham,Wiltshire,PAS Rural,,9,21,3,14,7,54,51.38880157,-2.04232001
10948,Grimstead,Wiltshire,Rural,Villa,11,41,3,8,1,64,51.04249954,-1.69046998
10949,Holt,Wiltshire,PAS Rural,,2,4,2,11,7,26,51.35800171,-2.20418
10950,Bishops_Cannings,Wiltshire,PAS Rural,,5,9,2,10,9,35,51.38159943,-1.9267
10951,Tisbury,Wiltshire,PAS Rural,,8,17,2,16,5,48,51.06079865,-2.07766008
10952,Zeals,Wiltshire,PAS Rural,,5,3,5,13,1,27,51.08840179,-2.30753994
10953,Castle_Combe,Wiltshire,Rural,Villa,4,23,1,43,113,184,51.49349976,-2.2256
10954,Easterton,Wiltshire,PAS rural,,7,6,1,8,4,26,51.28010178,-1.94497001
10955,Winterbourne,Wiltshire,PAS rural,,5,5,3,5,7,25,51.11909866,-1.76454997
11135,White_Waltham,Windsor and Maidenhead,PAS rural,,9,8,4,13,8,42,51.49850082,-0.77038002
11136,Cox_Green,Windsor and Maidenhead,Rural,Villa,7,10,1,79,2,99,51.49969864,-0.75005001
11150,Prenton,Wirral,PAS rural,,1,4,3,17,30,55,53.364514,-3.0507757
11151,Meols,Wirral,Nucleated,Undefended,51,29,3,17,8,108,53.399424,-3.1539137
11174,Ripple,Worcestershire,PAS Rural,,9,13,9,11,0,42,52.05039978,-2.19573998
11262,Rhosddu,Wrexham,Rural,Farmstead,23,2,0,1,0,26,53.0564003,-2.99933004
11263,Holt,Wrexham,Military,,58,5,0,7,1,71,53.06969833,-2.91841006
11296,Badsey,Wychavon,Rural,,24,96,38,177,66,401,52.08480072,-1.88804996
11297,Inkberrow,Wychavon,PAS Rural,,4,15,10,29,0,58,52.21789932,-1.97670996
11298,Droitwich_Spa,Wychavon,Nucleated,Defended vici,9,172,10,130,20,341,52.26530075,-2.15616012
11299,Offenham,Wychavon,PAS Rural,,2,10,5,21,3,41,52.11270142,-1.91001999
11300,Childswickham,Wychavon,Rural,Villa,2,4,4,15,6,31,52.05080032,-1.90676999
11301,Bickmarsh,Wychavon,PAS Rural,,4,7,3,22,14,50,52.14020157,-1.84256005
11302,Pershore,Wychavon,PAS Rural,,8,7,3,10,4,32,52.1094017,-2.08408999
11303,Cleeve_Prior,Wychavon,PAS Rural,,2,17,2,14,2,37,52.14170074,-1.87425995
11388,Hambleden,Wycombe,Rural,Villa,96,464,81,382,229,1252,51.58909988,-0.87418002
11389,Ellesborough,Wycombe,PAS Rural,,7,38,7,71,21,144,51.75149918,-0.78073001
11390,Bledlow-cum-Saunderton,Wycombe,PAS rural,,5,18,6,6,4,39,51.69509888,-0.85608
11391,Longwick-cum-Ilmer,Wycombe,PAS Rural,,7,7,5,7,2,28,51.73770142,-0.86281002
11392,Princes_Risborough,Wycombe,PAS Rural,,8,7,5,4,5,29,51.72740173,-0.81813002
11450,York_SW_Town,York,Urban,Large town,122,121,52,1045,494,1834,53.958679,-1.0867996
11451,York_Fortress,York,Military,Pennines,89,132,26,353,81,681,53.961565,-1.0828829
11452,York_Canaebae,York,Urban,Large town,80,91,10,98,17,296,53.957919,-1.0819681
11453,Heslington,York,Rural,Farmstead,12,22,6,31,26,97,53.93190002,-1.02316999
11454,York_SW_Suburbs,York,Urban,Large town,90,81,5,35,12,223,53.954687,-1.0925571
11455,Fulford,York,PAS Rural,,6,26,4,12,3,51,53.92720032,-1.06360996
11456,Dunnington,York,PAS Rural,,4,10,2,14,8,38,53.95159912,-0.98628998
