objectid,Parish,County,Major social category,Category sub group,Quantity_Period_A (To AD 260),Quantity_Period_B  (AD 260-296),Quantity_Period_C (AD 296-330),Quantity_Period_D (AD 330-364),Quantity_Period_E (AD 364-402),Total quantity (ABCDE),lat,long
10446,Stainton_by_Langworth,West Lindsey,PAS Rural,,4,7,16,75,8,110,53.29240036,-0.40329
10447,Middle_Rasen,West Lindsey,PAS Rural,,10,38,15,68,79,210,53.3913002,-0.35008001
10448,Legsby,West Lindsey,PAS rural,,16,18,13,49,20,116,53.34690094,-0.28516999
10449,Corringham,West Lindsey,PAS rural,,8,12,11,14,9,54,53.41189957,-0.69220001
10450,North_Carlton,West Lindsey,PAS Rural,,10,32,8,63,28,141,53.28649902,-0.57850999
10451,Wickenby,West Lindsey,PAS Rural,,16,5,8,7,6,42,53.32329941,-0.37354001
10452,Grasby,West Lindsey,PAS Rural,,4,18,7,22,42,93,53.52809906,-0.34615999
10453,Sudbrooke,West Lindsey,PAS Rural,,4,22,7,18,17,68,53.2696991,-0.44391999
10454,Gate_Burton,West Lindsey,PAS Rural,,8,22,7,43,18,98,53.33850098,-0.73285002
10455,Marton,West Lindsey,PAS Rural,,1,7,6,60,24,98,53.32640076,-0.73364002
10456,Welton,West Lindsey,PAS rural,,3,8,6,5,9,31,53.31079865,-0.49617001
10457,Lissington,West Lindsey,PAS Rural,,7,10,6,10,9,42,53.33720016,-0.33403
10458,Nettleham,West Lindsey,PAS Rural,,5,3,5,9,6,28,53.26539993,-0.49094
10459,Apley,West Lindsey,PAS Rural,,8,16,5,8,3,40,53.25930023,-0.324
10460,Riseholme,West Lindsey,PAS Rural,,9,27,5,57,22,120,53.26520157,-0.52942997
10461,Swinhope,West Lindsey,PAS Rural,,12,11,5,27,20,75,53.44760132,-0.17041001
10462,West_Rasen,West Lindsey,PAS Rural,,5,10,4,5,2,26,53.38710022,-0.42126
10463,Keelby,West Lindsey,PAS rural,,6,21,4,54,32,117,53.56539917,-0.24868
10464,Gainsborough,West Lindsey,PAS rural,,7,4,4,9,7,31,53.3946991,-0.76255
10465,Bardney,West Lindsey,PAS Rural,,12,6,4,7,14,43,53.21429825,-0.31371999
10466,Newball,West Lindsey,PAS Rural,,2,6,3,16,20,47,53.27769852,-0.37975001
10467,Greetwell,West Lindsey,PAS Rural,,2,14,3,14,12,45,53.23820114,-0.48517001
10468,Market_Rasen,West Lindsey,PAS Rural,,12,7,3,14,1,37,53.38209915,-0.32475999
10469,Grange_de_Lings,West Lindsey,PAS Rural,,14,14,3,7,6,44,53.28499985,-0.52573001
10470,Owmby,West Lindsey,PAS Rural,,0,7,2,23,16,48,53.37110138,-0.51346999
10471,Torksey,West Lindsey,PAS rural,,0,4,2,28,8,42,53.29499817,-0.72249001
10472,Glentham,West Lindsey,PAS rural,,4,7,2,13,10,36,53.40420151,-0.49217999
10473,Stainfield,West Lindsey,PAS Rural,,1,10,1,30,7,49,53.24259949,-0.3337
